v1,v2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,id,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),tweet,URLs in Tweet,Domains in Tweet,hashtags,tweet_date,Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,pos_count,pos_per,neg_count,neg_per,Sentiment List #3: (Add your own word list) Word Count,Sentiment List #3: (Add your own word list) Word Percentage (%),noncat_count,noncat_per,edgecontent_count
rahulra03335297,rahulra03335297,,,,,,,,,,602,,,Tweet,29-04-2021 15:08,ധര്‍മ്മടത്ത് മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ വിജയിക്കുമെന്ന് മാതൃഭൂമി ആക്‌സിസ് മൈ ഇന്ത്യ എക്‌സിറ്റ്‌പോള്‍ പ്രവചനം… https://t.co/2EQAzC2qgW,https://twitter.com/i/web/status/1387785927540580359,twitter.com,,29-04-2021 15:08,https://twitter.com/#!/rahulra03335297/status/1387785927540580359,,,1387785927540580359,,0,0.000,0,0.000,0,0.000,40,100.000,40
rahulra03335297,rahulra03335297,,,,,,,,,,603,,,Tweet,29-04-2021 15:12,"Mathrubhumi Axis My India exit poll predicts Pinarayi Vijayan to win in Dharmadam
#exitpollresult # KeralaAssemblyE… https://t.co/S7oCzmR0Kk",https://twitter.com/i/web/status/1387786838849454082,twitter.com,exitpollresult,29-04-2021 15:12,https://twitter.com/#!/rahulra03335297/status/1387786838849454082,,,1387786838849454082,,1,6.667,0,0.000,0,0.000,14,93.333,15
rahulra03335297,rahulra03335297,,,,,,,,,,604,,,Tweet,29-04-2021 15:20,"Who will rule kerala
#exitpollresult #KeralaAssemblyElection2021
#elections2021 #keralaexitpoll  #exitpoll2021… https://t.co/EyPgFHRvrz",https://twitter.com/i/web/status/1387789011280752645,twitter.com,exitpollresult keralaassemblyelection2021 elections2021 keralaexitpoll exitpoll2021,29-04-2021 15:20,https://twitter.com/#!/rahulra03335297/status/1387789011280752645,,,1387789011280752645,,0,0.000,0,0.000,0,0.000,9,100.000,9
venke_def,muralwrites,,,,,,,,,,605,,,Mentions,29-04-2021 15:21,RT @muralwrites: UDF as per exits is doing much worse than expected?! #keralaelections2021,,,keralaelections2021,29-04-2021 15:21,https://twitter.com/#!/venke_def/status/1387789263371005957,,,1387789263371005957,,0,0.000,1,7.692,0,0.000,12,92.308,13
toshitdhall45,timesdemocracy,,,,,,,,,,606,,,Mentions,29-04-2021 15:22,"RT @TimesDemocracy: Democracy Times Network Exit Poll Projections-

Kerala: 140 seats

𝗟𝗗𝗙: 74 Seats
𝗨𝗗𝗙: 64 Seats
𝗡𝗗𝗔: 01 Seat
𝗢𝗧𝗛𝗘𝗥𝗦: 01…",,,,29-04-2021 15:22,https://twitter.com/#!/toshitdhall45/status/1387789370065780739,,,1387789370065780739,,0,0.000,0,0.000,0,0.000,18,100.000,18
amitbagaria12,amitbagaria12,,,,,,,,,,607,,,Tweet,29-04-2021 13:29,".
#Elections2021 3/4

Here are my predictions for #Kerala before the #ExitPolls are out

#keralaelections2021… https://t.co/9NoAQ2UMvi",https://twitter.com/i/web/status/1387761028717551616,twitter.com,elections2021 kerala exitpolls keralaelections2021,29-04-2021 13:29,https://twitter.com/#!/amitbagaria12/status/1387761028717551616,,,1387761028717551616,1387761022363131916,0,0.000,0,0.000,0,0.000,15,100.000,15
amitbagaria12,amitbagaria12,,,,,,,,,,608,,,Tweet,29-04-2021 15:23,"RT @AmitBagaria12: .
#Elections2021 3/4

Here are my predictions for #Kerala before the #ExitPolls are out

#keralaelections2021 #KeralaAss…",,,elections2021 kerala exitpolls keralaelections2021,29-04-2021 15:23,https://twitter.com/#!/amitbagaria12/status/1387789602149212161,,,1387789602149212161,,0,0.000,0,0.000,0,0.000,18,100.000,18
mifpheur,pendown,,,,,,,,,,609,,,Mentions,29-04-2021 15:23,"RT @pendown: Ok, here it goes. My prediction of Kerala elections: UDF - 75, LDF - 62, BJP - 2, T20 - 1. #keralaelections2021",,,keralaelections2021,29-04-2021 15:23,https://twitter.com/#!/mifpheur/status/1387789628850065410,,,1387789628850065410,,0,0.000,0,0.000,0,0.000,20,100.000,20
muralwrites,muralwrites,,,,,,,,,,610,,,Tweet,29-04-2021 14:12,UDF as per exits is doing much worse than expected?! #keralaelections2021,,,keralaelections2021,29-04-2021 14:12,https://twitter.com/#!/muralwrites/status/1387771769537376258,,,1387771769537376258,,0,0.000,1,9.091,0,0.000,10,90.909,11
santhoshraman6,muralwrites,,,,,,,,,,611,,,Mentions,29-04-2021 15:24,RT @muralwrites: UDF as per exits is doing much worse than expected?! #keralaelections2021,,,keralaelections2021,29-04-2021 15:24,https://twitter.com/#!/santhoshraman6/status/1387789798820093952,,,1387789798820093952,,0,0.000,1,7.692,0,0.000,12,92.308,13
alejand53190487,datoworld,,,,,,,,,,612,,,Mentions,29-04-2021 15:25,"RT @Datoworld: 🇮🇳#India| EXIT POLL para la Asamblea Legislativas del estado de Kerala: 

🔴LDF (Comunista): 47% (104-120) 
🔵UDF (Centro): 38…",,,india,29-04-2021 15:25,https://twitter.com/#!/alejand53190487/status/1387790039384530949,,,1387790039384530949,,0,0.000,0,0.000,0,0.000,21,100.000,21
tejmuk,asiaelects,,,,,,,,,,613,,,Mentions,29-04-2021 15:26,RT @AsiaElects: India (Kerala): All exit polls for the  regional election project LDF (Left) to win a majority in the legislature. This  wo…,,,,29-04-2021 15:26,https://twitter.com/#!/tejmuk/status/1387790357363101700,,,1387790357363101700,,1,4.348,0,0.000,0,0.000,22,95.652,23
avatarrohin,asiaelects,,,,,,,,,,614,,,Mentions,29-04-2021 15:26,RT @AsiaElects: India (Kerala): All exit polls for the  regional election project LDF (Left) to win a majority in the legislature. This  wo…,,,,29-04-2021 15:26,https://twitter.com/#!/avatarrohin/status/1387790509167497222,,,1387790509167497222,,1,4.348,0,0.000,0,0.000,22,95.652,23
politologmurcia,asiaelects,,,,,,,,,,615,,,Mentions,29-04-2021 15:27,RT @AsiaElects: India (Kerala): All exit polls for the  regional election project LDF (Left) to win a majority in the legislature. This  wo…,,,,29-04-2021 15:27,https://twitter.com/#!/politologmurcia/status/1387790558693822469,,,1387790558693822469,,1,4.348,0,0.000,0,0.000,22,95.652,23
pinkopalest,asiaelects,,,,,,,,,,616,,,Mentions,29-04-2021 15:29,RT @AsiaElects: India (Kerala): All exit polls for the  regional election project LDF (Left) to win a majority in the legislature. This  wo…,,,,29-04-2021 15:29,https://twitter.com/#!/pinkopalest/status/1387791113755447302,,,1387791113755447302,,1,4.348,0,0.000,0,0.000,22,95.652,23
siddiquialsamar,marineravin,,,,,,,,,,617,,,Mentions,29-04-2021 15:33,"RT @marineravin: LDF- 104-120
UDF- 20-36
NDA- 0-2 
Exit Poll by India Today 
#keralaelections2021  
#IndiaNeedsLeft",,,keralaelections2021 indianeedsleft,29-04-2021 15:33,https://twitter.com/#!/siddiquialsamar/status/1387792275594354688,,,1387792275594354688,,0,0.000,0,0.000,0,0.000,18,100.000,18
